iter	Passed	Remaining
678	39755	77344
679	39809	77278
680	39860	77204
681	39915	77139
682	39970	77074
683	40024	77006
684	40077	76937
685	40129	76865
686	40181	76796
687	40234	76726
688	40293	76668
689	40348	76603
690	40405	76541
691	40464	76484
692	40522	76426
693	40586	76376
694	40640	76310
695	40696	76247
696	40751	76183
697	40810	76124
698	40871	76071
699	40927	76008
700	40980	75940
701	41045	75892
702	41108	75844
703	41169	75788
704	41230	75735
705	41290	75679
706	41348	75620
707	41410	75568
708	41469	75510
709	41524	75446
710	41577	75377
711	41632	75312
712	41683	75241
713	41740	75180
714	41793	75112
715	41849	75048
716	41906	74987
717	41965	74930
718	42024	74872
719	42087	74821
720	42145	74762
721	42195	74689
722	42257	74638
723	42309	74568
724	42364	74502
725	42420	74440
726	42477	74379
727	42532	74315
728	42592	74259
729	42643	74188
730	42703	74131
731	42763	74076
732	42823	74020
733	42884	73966
734	42943	73908
735	43000	73849
736	43055	73783
737	43124	73744
738	43200	73715
739	43288	73706
740	43356	73665
741	43427	73627
742	43500	73593
743	43573	73559
744	43647	73526
745	43713	73481
746	43773	73423
747	43826	73356
748	43884	73297
749	43936	73228
750	43994	73168
751	44054	73111
752	44111	73051
753	44167	72987
754	44230	72936
755	44279	72862
756	44336	72800
757	44391	72736
758	44449	72677
759	44503	72611
760	44565	72558
761	44628	72506
762	44681	72439
763	44744	72387
764	44796	72319
765	44855	72260
766	44911	72197
767	44968	72136
768	45028	72080
769	45086	72021
770	45143	71959
771	45206	71908
772	45263	71847
773	45319	71785
774	45375	71722
775	45427	71653
776	45481	71587
777	45532	71517
778	45585	71449
779	45639	71384
780	45690	71314
781	45741	71244
782	45792	71173
783	45844	71106
784	45898	71039
785	45951	70973
786	46009	70914
787	46064	70850
788	46115	70779
789	46166	70710
790	46217	70641
791	46268	70570
792	46325	70510
793	46380	70446
794	46439	70389
795	46492	70323
796	46546	70257
797	46602	70195
798	46658	70133
799	46708	70062
800	46761	69996
801	46812	69927
802	46869	69865
803	46927	69808
804	46979	69739
805	47033	69674
806	47085	69606
807	47137	69539
808	47188	69469
809	47239	69401
810	47297	69342
811	47348	69272
812	47397	69201
813	47452	69138
814	47512	69082
815	47568	69021
816	47624	68959
817	47683	68902
818	47774	68891
819	47929	68972
820	48028	68970
821	48116	68955
822	48197	68928
823	48286	68913
824	48399	68932
825	48479	68904
826	48572	68893
827	48650	68862
828	48722	68822
829	48787	68772
830	48859	68732
831	48927	68686
832	48994	68639
833	49053	68581
834	49114	68524
835	49178	68473
836	49243	68423
837	49317	68385
838	49393	68349
839	49461	68303
840	49523	68249
841	49580	68187
842	49638	68128
843	49698	68070
844	49759	68015
845	49817	67954
846	49873	67891
847	49929	67828
848	49986	67766
849	50041	67702
850	50092	67633
851	50145	67567
852	50200	67502
853	50262	67448
854	50318	67385
855	50376	67325
856	50429	67259
857	50483	67193
858	50536	67127
859	50595	67068
860	50650	67004
861	50707	66943
862	50762	66879
863	50820	66820
864	50877	66757
865	50934	66697
866	50998	66645
867	51053	66581
868	51107	66515
869	51160	66449
870	51216	66386
871	51271	66323
872	51329	66263
873	51385	66201
874	51438	66134
875	51490	66068
876	51543	66001
877	51594	65932
878	51646	65865
879	51699	65799
880	51757	65739
881	51810	65673
882	51867	65612
883	51921	65548
884	51977	65486
885	52037	65428
886	52093	65366
887	52143	65297
888	52197	65232
889	52250	65166
890	52305	65103
891	52361	65040
892	52416	64977
893	52469	64912
894	52520	64844
895	52574	64779
896	52630	64716
897	52681	64649
898	52741	64592
899	52805	64539
900	52862	64479
901	52918	64416
902	52971	64351
903	53025	64287
904	53080	64224
905	53131	64157
906	53186	64093
907	53239	64027
908	53290	63959
909	53342	63893
910	53394	63827
911	53452	63767
912	53507	63705
913	53564	63644
914	53619	63581
915	53678	63523
916	53731	63458
917	53787	63396
918	53834	63324
919	53891	63263
920	53945	63199
921	53997	63134
922	54053	63072
923	54108	63009
924	54159	62942
925	54214	62879
926	54269	62816
927	54320	62750
928	54372	62683
929	54425	62618
930	54484	62560
931	54535	62494
932	54589	62429
933	54641	62363
934	54699	62304
935	54748	62235
936	54801	62171
937	54852	62104
938	54907	62040
939	54962	61979
940	55014	61913
941	55069	61851
942	55121	61784
943	55180	61727
944	55237	61667
945	55293	61606
946	55344	61539
947	55399	61476
948	55455	61416
949	55508	61351
950	55566	61292
951	55618	61227
952	55670	61162
953	55725	61099
954	55782	61039
955	55840	60980
956	55899	60922
957	55952	60858
958	56006	60795
959	56065	60737
960	56122	60677
961	56172	60610
962	56225	60546
963	56278	60482
964	56333	60419
965	56389	60359
966	56444	60297
967	56499	60235
968	56550	60168
969	56598	60099
970	56654	60038
971	56707	59974
972	56760	59910
973	56811	59845
974	56864	59780
975	56916	59715
976	56971	59653
977	57032	59598
978	57085	59534
979	57135	59467
980	57189	59404
981	57247	59346
982	57305	59287
983	57365	59230
984	57422	59170
985	57475	59107
986	57531	59047
987	57582	58980
988	57636	58919
989	57690	58855
990	57743	58792
991	57803	58735
992	57860	58676
993	57914	58613
994	57966	58548
995	58022	58488
996	58073	58422
997	58132	58365
998	58184	58301
999	58235	58235
1000	58286	58170
1001	58340	58108
1002	58396	58046
1003	58447	57981
1004	58501	57919
1005	58555	57857
1006	58606	57792
1007	58657	57726
1008	58707	57660
1009	58760	57597
1010	58812	57532
1011	58865	57469
1012	58915	57403
1013	58967	57338
